UserId,ItemId
10,3087 2946 417 2091 2743 1057 267 2985 3106 584 2030 1575 1386 1241 1613 2611 1752 2602 1459 739 3015 811 1013 3182 333 1237 1770 924 1765 3092 1213 1421 988 1505 491 2111 246 2101 1377 1200 2403 1274 1861 355 2095 1873 358 1465 1077 2320
11,115 1239 2308 2551 3026 1254 454 1423 1260 1533 3049 3220 959 2861 1939 2035 957 907 2555 3229 3022 2497 1443 521 517 2585 765 1973 2338 868 644 18 2328 2523 1605 942 2649 1196 2674 584 12 1814 2147 255 2606 1128 1455 1233 1290 2540
12,2852 2159 393 1976 2431 1639 2933 1792 155 1912 2726 2115 1941 897 2024 2871 1386 243 479 91 1185 1437 2797 1558 938 734 1861 36 70 954 174 241 2039 2875 856 3087 2623 212 2392 3220 1465 803 776 1443 1913 2885 2855 180 170 503
13,2305 645 2285 2281 1045 1604 1844 2994 73 1340 253 1409 896 2804 2483 1778 676 2930 1691 1342 751 1625 991 2963 321 1885 2402 319 1617 2027 1305 2693 2689 1416 1753 444 825 2583 3221 2957 2964 1405 1054 3048 1941 2196 1559 233 3018 2302
14,1977 490 2470 2874 2198 834 51 1531 2578 551 249 2350 354 1237 975 2977 1474 2754 2167 2885 2986 3184 2351 3145 868 3004 870 2888 2937 1386 1317 1398 2944 926 280 3059 1567 2325 2555 803 192 1800 2462 2176 3118 2976 2862 1106 2441 346
15,2274 1525 365 1762 918 2568 1331 209 303 1186 3053 1775 2663 682 1678 1805 2431 614 908 1862 863 235 2678 2171 938 656 2930 2939 1229 1034 872 2604 1558 1801 244 1301 226 1598 3037 97 2343 2512 1791 1080 1184 623 331 2675 2141 1087
16,1556 2807 369 1896 2885 2283 458 486 423 2685 132 2638 2351 2977 1125 231 1573 2521 1351 644 1922 2142 2444 741 830 3090 1614 2529 1195 706 294 905 2470 2828 847 702 2174 3079 1474 2282 2206 2198 1496 3220 2022 1307 1879 380 565 2431
17,1736 2393 1896 100 3052 596 2714 1737 91 2444 2057 856 987 593 1465 1821 702 2006 1797 2825 3077 2875 2384 2811 2413 2320 2343 319 3087 517 1474 2541 2359 3241 1941 964 1087 1520 1722 2666 2351 942 1443 2236 738 2616 1060 457 814 1180
18,2860 2108 1519 1432 465 1193 697 18 2855 3032 865 639 814 31 1456 2298 2783 84 2011 398 565 2125 584 938 2217 2537 60 2910 2283 3078 2458 1505 3022 3246 1065 1357 2359 2039 1183 2196 770 2435 3109 1116 2258 2814 1896 3037 1735 689
19,333 736 3078 1127 1023 2464 702 2127 1949 655 756 2547 1200 255 2537 981 2115 2024 1197 1034 2431 938 2108 1455 2012 2977 719 840 1353 2333 1811 2470 1887 677 1770 1861 243 553 490 2070 1348 1648 2463 2811 2651 2320 273 2299 3176 1875
20,1371 2937 3233 407 1643 255 2176 1357 85 1737 2976 3091 1268 1197 3059 1133 2888 2351 1547 1714 2324 2233 1200 3189 1289 2754 1741 594 2878 1348 750 1071 814 1922 1941 1498 753 479 2441 3187 2047 1689 1465 2384 491 31 2696 868 2855 3040
21,2908 163 1694 2380 259 420 505 1722 2762 396 3035 1325 907 1508 1409 2022 1386 1048 830 181 2978 1405 1365 1784 2977 2514 782 629 1648 2885 230 1245 21 465 2463 1051 706 1956 1896 1730 1637 1353 2024 2320 2652 714 2162 596 1465 1268
22,1204 1829 2635 3186 1184 1944 1697 2066 2222 117 1672 3184 2757 939 3025 745 669 33 1424 3188 124 296 2997 2100 331 335 706 1290 361 505 1835 2031 2979 1720 2173 2861 1260 2339 2455 317 197 1104 1302 2256 1005 1466 2651 1909 259 1034
23,1113 384 812 1365 471 2661 2444 1652 505 1279 1193 1868 968 719 925 0 2385 2902 2944 794 2464 2299 706 1325 637 167 1969 2479 231 2537 976 2540 2455 1743 1195 2805 496 3040 2066 3026 2997 847 2627 1182 617 2738 1455 458 490 2625
24,1496 3068 1305 1812 589 361 402 486 471 85 72 28 1605 387 1119 2636 964 296 2508 1401 935 2822 465 1002 18 277 2514 3186 2350 1405 3040 2384 362 2470 2312 1603 1414 1455 2977 1533 1218 2536 698 2006 1185 1792 1673 3236 545 1006
25,1756 1765 3026 750 2174 2034 522 1786 1336 471 2061 992 294 571 3207 2578 957 1262 2814 485 2002 663 2312 2313 2537 2149 1341 2319 2052 865 756 3078 494 2857 2455 1274 2570 689 2547 167 2464 1302 3041 1456 1835 380 2703 1657 29 1376
26,2944 2178 3162 611 1200 2661 2403 2810 2272 1575 319 2720 787 2330 1507 1020 1353 637 165 1474 497 2529 1268 1589 394 1218 368 898 2966 783 1469 1593 144 959 584 3023 1295 1057 1432 1001 687 1346 1224 3176 954 2990 2206 1781 525 3104
27,617 1113 2636 506 2444 397 939 975 1279 437 619 2332 768 620 1743 1433 1988 2971 362 3186 783 2730 1846 3052 1304 2627 3030 2283 2384 1978 174 2419 164 847 2960 867 2338 295 136 2314 426 18 48 471 1635 3040 2521 2479 2979 1983
28,1861 1154 1383 553 91 394 1975 1811 598 743 2163 876 2375 2385 836 1055 2 751 2970 838 2352 2413 1054 773 2811 1005 155 2652 2182 1357 2343 677 2841 2887 2499 1116 2371 829 1336 2778 2805 1032 2750 655 443 2809 1204 1386 1094 2216
29,687 2224 1935 1811 2035 2551 1078 3254 221 1739 2490 1134 1194 2236 1557 2783 2212 1939 1336 1567 947 1357 3027 305 1386 2595 230 2398 2111 2135 2674 868 1060 2301 2470 517 3209 1579 124 3164 1250 387 2033 491 1560 1504 2320 2567 1956 2536
30,825 938 1756 2703 2888 2283 2217 521 482 255 2473 1331 2234 1474 2127 1002 987 1495 2750 3248 1857 2129 2255 319 2030 1402 1001 1135 2262 1336 1915 465 1650 3241 1961 1896 993 2328 756 627 1568 99 241 1938 1895 1290 939 2208 33 1517
31,2602 1644 2546 2887 394 1432 919 2889 1895 2957 1006 874 1852 1686 619 1641 389 2474 2297 3150 2115 59 2822 906 1797 1054 589 2454 1766 1317 544 1975 2921 938 2697 2645 1343 1896 387 2663 1113 2431 2352 1295 1360 2058 19 3220 2999 1969
32,1183 2749 3078 2393 2309 331 1072 3064 2914 2444 470 2638 1289 2977 1220 1357 1402 3205 1032 2035 3210 1020 2595 924 2962 162 2825 2536 2223 3142 1796 1972 2694 3130 2431 170 954 655 1269 3198 3084 1264 468 3052 3014 2478 2080 2236 1168 969
33,3001 1044 2996 966 880 2347 1529 2848 2097 2075 1697 688 1674 2258 2962 323 2112 2917 1220 2246 807 2054 1390 2516 121 154 210 649 467 1192 2553 2687 2988 1767 2822 1435 462 2824 2344 3202 2305 1552 1758 49 3160 1403 2317 229 1838 3051
34,1575 3176 2957 505 2470 2022 892 423 1197 3187 2889 2527 2652 333 732 2940 2380 1421 2547 2299 1474 471 2878 2805 579 907 1348 770 64 1325 1657 1177 553 2885 337 2117 1185 3116 2031 3078 1010 292 1386 710 1767 945 1026 465 490 3220
35,987 748 938 91 1336 2750 2841 521 738 1567 2649 1239 870 770 1290 2044 2198 2595 2351 1967 2127 1386 697 1973 3241 16 2302 3209 119 354 2111 3215 602 1964 3167 1470 470 745 517 1770 1474 783 3194 448 1531 3059 1218 2031 266 1922
36,2318 570 2393 2734 2784 2149 882 302 1012 1907 1859 521 333 291 1732 2637 2899 1354 2178 3196 1447 2388 2406 2543 2434 3113 3118 2206 1430 1922 2614 1984 1858 2181 1525 161 163 1232 255 2363 313 3189 2129 1646 125 1852 266 736 1549 0
37,2115 2006 2805 2056 231 1034 2193 2022 1002 393 698 3220 976 403 515 3184 1197 2270 2217 981 2350 751 1307 2921 1218 865 829 3189 2902 2885 1474 1972 852 588 1405 2392 2299 1681 443 3240 1614 663 1128 2977 98 837 21 372 2474 2312
38,2986 2080 2976 1977 2387 2057 2176 497 186 454 1419 2111 3220 2428 2472 952 3147 1254 840 713 708 1447 1443 2582 2807 465 2661 2750 2055 2874 2726 2117 292 2555 2460 695 1934 2786 720 1006 2932 1681 1031 1099 1755 1396 1125 939 1603 1357
39,2867 2108 1892 2547 333 2664 1194 2299 226 762 697 2611 1307 422 427 1517 84 2011 2818 1752 2022 465 2814 494 3040 2678 1455 1053 780 307 1793 2806 968 437 2724 1221 380 1193 3037 275 1348 1050 1063 489 2537 2403 3229 2030 1868 1889
40,2214 1262 2371 2799 2851 2854 838 988 1908 1411 1786 702 2611 2463 2652 1030 636 3231 720 1214 2216 853 733 192 1370 2419 1575 2428 2057 48 1265 2934 427 942 871 2117 1336 197 1239 2455 402 1318 1212 2785 3090 1402 2651 1263 839 1969
41,965 2283 1418 2946 1195 402 3124 2879 2176 471 384 986 1684 2174 2845 988 1765 2401 2359 147 1092 1125 1761 2039 229 1835 2940 2885 465 1063 1182 783 976 2795 457 2075 13 454 2661 2022 695 1325 712 1298 2883 2351 1106 968 2107 2320
42,1613 561 259 2746 1938 1531 2196 2157 1861 1975 546 240 2413 2403 192 2827 2262 2944 834 617 756 319 1232 3150 1686 1755 476 539 324 1900 2811 980 1272 971 358 1941 2921 2648 1896 1822 2537 677 954 2031 876 1088 3245 2976 1394 1237
43,2173 590 1119 405 2696 1797 1306 498 2937 2651 2305 91 910 971 1289 922 786 2962 1057 764 2976 2795 2115 1715 443 2855 1575 2176 471 1598 13 454 3186 655 167 398 2470 2718 2278 1213 1129 2726 1015 821 1432 35 1911 271 1680 2811
44,854 1938 598 288 2159 2533 1137 3257 1203 3184 677 1576 1575 1435 280 2555 146 3220 1106 358 1753 590 2958 3185 100 1550 2964 3042 676 783 2718 341 243 2133 559 1594 2413 1873 656 2725 147 98 2070 1567 922 2369 865 2304 2661 2611
45,1895 998 2959 2779 25 1067 825 2977 751 2089 3210 676 1117 2957 319 1002 1299 2710 1531 2053 2129 2217 1336 2934 3042 1957 1982 2664 871 1124 1600 876 2498 2887 3194 1085 1088 2648 2499 2322 2646 1861 88 629 2305 1870 883 2821 734 119
46,1796 897 1080 1576 609 1087 2710 1475 598 43 916 1726 803 1394 1019 2725 2799 651 192 814 405 1276 949 1617 291 1029 1038 3232 3189 1059 3086 2565 1706 2788 1887 957 2760 2084 1292 922 1386 244 2536 854 2115 241 1196 2652 719 1465
47,603 366 2964 2006 3189 1936 2307 2111 2298 2885 1268 1365 100 2380 277 2320 2933 2338 1189 1305 1770 625 470 471 2182 1784 1307 358 830 1184 2716 1254 1386 738 2133 48 1147 837 2805 2649 98 1056 1722 491 770 272 751 2966 609 2957
48,2887 856 1224 2738 1686 1852 231 2392 825 938 1812 2351 3142 458 1474 954 313 1505 496 2607 2030 333 3147 2959 2431 1185 2196 719 3241 2508 1861 2312 1187 275 3167 363 1325 2299 358 2706 2144 1456 119 2841 714 619 539 1684 865 1015
49,1871 1716 1812 3231 2514 1220 494 1456 3153 897 2671 2835 1132 2124 2087 2823 25 697 322 2389 2117 2940 2463 1852 2460 2664 446 753 575 227 2458 712 2039 1837 3109 1681 2840 1264 384 1429 1465 2633 103 471 1213 275 2108 865 2291 2305
50,1125 1984 1197 783 2208 2380 1168 2809 1978 1185 1573 1228 2537 2885 2821 2902 2182 1200 296 2070 2841 2455 865 2066 2299 1230 958 465 3127 2312 204 2470 1328 162 2862 1770 2022 490 2320 2350 243 1681 1455 3189 226 3186 1325 1119 3142 3049
51,1236 417 1804 2422 1057 1584 1099 2521 869 2743 300 1868 3200 1314 1409 2131 1152 2172 2382 2695 617 992 1262 756 487 898 1637 2537 275 1187 1185 98 2525 1132 2283 2425 3079 371 2250 1113 2981 1347 1417 1919 2706 402 3003 1556 2474 1455
52,1432 337 1855 1006 1812 1399 1224 471 2431 1770 1200 1797 1418 3105 2970 1613 2887 394 836 1197 2324 3221 791 2594 2328 710 91 2885 2959 2113 2472 3073 294 444 1755 1485 1941 539 2385 1088 1784 358 2865 264 1213 2645 1383 1002 1195 1185
53,938 1975 2548 2651 167 1748 505 1243 2446 126 628 3206 479 1290 1596 2885 91 1575 3072 987 335 2977 2532 2652 2396 1317 1046 2216 1305 2217 1156 676 351 1240 1913 3157 3089 2089 2959 1505 1343 319 2997 2809 2022 2328 1224 856 837 1197
54,1881 2976 856 3196 2661 2470 1272 243 358 1268 2455 2706 1684 2966 91 2316 1204 2537 1896 2431 2306 1224 2474 145 2845 471 954 1386 2651 1474 1185 836 217 2974 2546 1152 394 1125 1321 2629 987 2193 161 2182 1868 1130 167 2786 1770 2977
55,2190 918 1048 2417 1443 2537 1958 3209 2144 1761 1193 1123 858 3231 1614 637 1417 231 892 1681 2885 2876 663 2013 84 1190 698 1197 2646 561 3226 2814 2855 2024 2031 1215 2339 2039 1764 1659 947 1868 2608 2805 702 2461 1474 2034 2994 1200
56,199 3182 959 1802 2225 1613 1533 1338 1340 3165 1972 2096 679 2832 1427 628 2649 964 704 571 3090 740 1404 423 227 3162 2339 1448 2473 1781 1777 1645 1189 328 519 2521 3004 3104 2568 2253 593 485 173 1720 2379 2307 2235 2856 2714 1142
57,2944 36 319 1353 1362 2898 2259 1585 905 825 3031 1262 415 2316 3134 1115 1494 2921 741 2779 762 1770 2594 164 3156 3092 538 959 2174 356 1317 2299 988 1686 2845 337 2350 3139 734 2203 3040 3063 1896 2392 1821 363 1119 1797 2902 1812
58,1154 2352 2546 676 619 1236 2959 2333 537 938 3210 2479 2977 1005 2996 1203 2406 2743 2337 188 1450 2970 349 2527 505 829 2930 1299 2918 2887 1768 677 764 1295 3085 734 1343 1006 2812 237 1055 1895 2531 426 319 2732 405 1596 836 2392
59,701 2178 1838 552 1915 3238 1652 2309 845 2034 3088 1834 749 3037 2739 1365 1189 167 53 1347 3071 1206 2622 575 1874 1891 1853 3003 648 704 1243 838 1405 2115 1218 745 2131 2535 714 2959 1103 3026 1054 1462 1343 2445 2887 1063 2235 602
60,2832 897 2712 475 399 1544 939 2403 2145 1540 1326 2555 2611 2514 1969 854 2779 2576 243 1055 3191 1533 2456 1684 1065 2525 2031 158 907 736 2771 2997 579 2313 2476 845 1575 295 2948 259 1765 2653 3118 173 1221 486 1740 2693 3206 334
61,1327 2855 2959 2726 919 100 835 1156 845 2616 2022 1575 1722 501 1386 1567 2035 1766 489 13 1641 1533 2922 2807 2267 505 1324 748 954 2299 553 968 372 1197 885 3139 115 296 1239 1280 1868 1828 517 1106 1185 170 1861 3003 1295 2997
62,1079 494 491 18 840 2594 2719 2138 2149 1524 444 1734 1889 2464 1749 385 1681 2403 275 1657 1800 639 609 3111 3040 2805 299 1770 3259 865 2013 3110 1102 898 756 662 1557 886 2125 2633 1218 2031 2012 859 698 2190 697 573 3189 2536
63,2441 698 241 2428 2652 2986 2080 2163 2688 2602 1076 1200 1443 147 525 59 2878 3145 1859 2176 2883 501 381 892 783 2167 1195 437 3092 1837 3049 2055 1057 294 1225 811 1386 1239 1973 1141 1347 2232 1964 1012 1147 2710 1684 2198 1737 706
64,1432 1221 1964 163 3243 486 2866 319 2726 539 2163 1240 680 714 1131 1663 264 710 589 1765 2921 2316 1001 1006 2193 3054 1327 394 2879 238 2413 1572 976 959 3150 2883 1012 949 1203 677 3210 2470 1325 2855 2878 1614 2339 1973 240 231
65,1547 763 828 333 157 1302 1722 3049 275 713 2351 2937 865 3246 1695 1755 981 1939 2908 2944 1455 2178 2525 2823 2645 987 521 2031 294 3248 1949 1575 603 2299 1220 719 505 3241 1306 1868 166 458 1474 803 2940 697 1185 2551 2464 2350
66,1015 2966 2847 2435 829 598 2217 1262 525 1224 734 439 1286 2216 1770 370 86 2312 1896 2463 2689 231 788 2320 780 2474 1284 275 886 1059 2546 3231 2551 2704 1240 37 2385 3241 64 458 3189 2754 405 2592 2022 1880 1470 1203 2020 2193
67,2343 2091 991 1241 2634 2784 1920 1923 1360 3186 829 1383 3084 1942 2169 1041 1677 582 1915 1533 2098 1441 926 1616 1817 2973 593 3080 3003 2825 1796 1961 1857 2631 2750 962 1083 1405 273 2431 987 271 1539 2836 255 1032 1922 1853 82 1154
68,2371 2624 286 1227 2885 1063 991 3202 2198 2126 770 1245 2176 3049 969 784 1064 2946 2034 2324 255 518 1686 2393 1618 1112 744 1956 2770 232 45 2514 861 706 1448 3127 728 2427 204 768 346 1744 3139 18 902 837 1193 561 2749 2616
69,226 1575 2536 1185 663 1648 3041 770 1127 370 3013 2206 609 2012 2222 1693 2144 2885 938 1034 1585 1826 2190 968 1811 1112 981 2039 1744 1455 1812 1619 1417 865 918 588 2855 1474 697 767 1357 1681 3078 1923 3166 1170 3209 1351 505 2460
70,3014 82 1767 865 2159 1185 2969 1868 2971 3187 465 2638 1567 2841 2320 2022 2117 358 412 2214 100 45 2298 669 1685 2006 1307 2464 1784 1226 2127 1210 644 3220 1575 719 2726 1681 2133 275 1697 783 3021 2351 2878 1194 938 1722 1386 1121
71,2498 3080 1956 2149 1112 117 2885 2034 545 1013 3158 1348 370 2066 116 491 2583 2054 1237 2299 1575 490 1197 457 551 2022 739 1697 870 1241 1305 697 2370 2318 2522 1529 2541 2977 2804 2320 968 1922 2470 1386 783 439 2039 2696 1307 1135
72,551 2511 1358 1344 2744 2369 1622 2749 1107 2058 1315 2057 2150 3195 587 1701 2670 1267 487 1990 512 3094 985 1584 811 1248 1919 2147 1475 1965 2112 408 1031 1644 1245 868 2929 2953 738 1466 225 338 1239 1629 3004 3183 1192 942 1331 380
73,1575 856 1226 170 1130 2852 2385 1268 2651 1941 2555 1239 2006 2810 490 2986 538 553 2652 1765 1521 2885 593 361 2217 644 706 280 2823 885 1213 3189 1422 1795 2152 2182 1185 719 1837 1973 2133 2460 741 1386 748 1087 3187 2387 776 2325
74,3073 1942 723 2176 2055 2529 1156 3176 2937 3079 637 1737 589 25 2845 2940 1783 1167 2944 361 783 426 454 1735 3041 465 525 2515 2351 2278 2455 479 2878 959 3193 1803 1239 2326 976 2470 343 2108 2932 2350 162 2443 2066 2875 2767 2259
75,1341 3032 457 749 3015 179 213 624 2633 812 3078 432 86 412 1230 2100 716 790 88 2030 2831 2547 2458 3026 1405 3207 3071 2814 1860 3123 1693 1749 221 329 1456 1465 1348 2340 2312 992 1624 15 621 1232 1870 1411 1506 1338 968 3231
76,25 2550 1954 908 2351 2939 954 1405 938 621 496 1812 1004 2416 1792 3078 1455 3176 1397 572 2874 1300 2050 1575 2133 1264 856 780 2115 2777 1513 217 1174 3031 2312 1307 91 2022 479 2773 573 553 1786 1407 1224 945 1628 3036 384 2429
77,2651 2946 1297 2940 1806 1048 2089 259 575 2193 1023 2536 2696 1119 905 1005 1665 98 2652 3205 2773 2164 276 1829 1034 1896 3032 734 1852 1648 842 1598 714 964 358 1614 3203 2388 1195 636 2783 2921 2582 443 987 1129 3229 1314 444 2974
78,1818 1737 2325 296 468 1920 644 2159 517 59 969 2351 1956 2320 2602 521 697 1547 3078 863 1020 1239 2393 1268 2616 2055 1156 100 312 1159 2958 1031 115 1197 2913 1443 1505 2031 2299 987 2312 116 1241 745 485 331 2428 938 1991 1800
79,2393 3014 2262 814 1964 1396 2750 987 1238 1496 1890 240 538 1060 2198 48 3103 2666 1864 1220 1737 1162 3042 655 1357 62 3145 1432 2402 148 1990 255 115 2994 296 2557 1197 748 2603 853 2649 2714 2227 1159 1106 1371 229 2055 497 2428
80,590 1026 2089 1331 2380 856 1388 998 1048 2956 1119 3194 3189 958 2499 582 1905 449 1224 1424 79 199 2115 1321 405 905 1964 2064 1456 734 2971 1435 2406 2174 356 2494 1896 25 2537 2431 938 748 712 2810 2974 2684 865 2262 2464 2361
81,2934 1789 3023 454 2714 2341 1977 2022 3118 497 465 2163 674 2595 2885 1290 423 598 959 991 2652 42 2198 1494 2182 2488 1060 1082 517 2393 3145 1920 702 2750 2152 2460 2069 2767 3054 1057 1402 1254 150 2841 1106 1945 1145 1371 3052 1197
82,1975 2352 335 1224 2957 938 2316 872 119 825 91 2930 3156 458 1405 2004 1364 1325 1474 2306 1644 1336 1432 1236 1797 80 605 2297 1085 1268 2392 692 1198 2285 1383 2770 2676 1185 2921 2034 1475 987 2696 1470 25 417 624 358 2221 2404
83,1185 1443 1254 1220 862 517 1766 1812 1770 3139 2087 1868 2466 965 865 100 1681 2791 1913 465 2395 346 3051 1001 1520 3178 1160 2324 3031 2030 1474 762 454 719 1567 767 1455 458 2328 1835 366 1365 1187 292 644 1983 1336 1991 768 837
84,2944 762 146 1521 3139 518 834 783 465 3078 3041 2228 1185 1556 2527 2039 2841 1613 1298 926 1195 1321 1053 551 988 924 968 2351 3237 2299 82 2578 1119 3223 2537 1576 424 238 750 1386 489 2145 1868 802 2232 1853 2997 2476 2754 1209
85,3032 750 2039 2005 2547 1572 2403 2497 2537 2190 3176 2022 496 689 1232 3031 1662 284 175 1657 621 1417 1302 2823 2703 1956 2873 2622 3118 74 1197 1059 1814 259 2526 1241 716 18 1187 517 2359 859 762 2299 430 3026 2382 427 1116 2377
86,1119 1130 3129 553 2428 361 2997 589 1552 2946 1747 317 786 1576 1423 1377 2810 2607 971 485 1417 1990 2641 2677 1498 3078 46 117 296 2958 2956 2556 1628 79 2380 3184 1573 770 590 3135 294 1065 3073 694 100 1386 2555 385 648 945
87,599 644 1875 3110 3078 1307 964 2536 2299 1092 515 2347 3236 491 1697 2861 1357 2994 494 1575 15 1579 702 1956 2307 3229 2281 2455 1023 2855 1423 3026 340 1336 505 1200 1046 1348 1123 1942 3127 346 3116 1770 0 1244 2649 2757 1324 2088
88,3189 2466 876 1245 2726 49 1117 1200 776 2163 651 100 2216 2734 2809 2351 1868 949 1386 1770 2541 2171 381 144 553 2937 115 2885 2810 2533 988 1162 1887 3209 1602 2108 2217 2931 2212 2666 1193 2544 2946 417 1612 1000 3241 1973 1290 2423
89,501 426 1125 275 2075 1189 830 505 276 2117 1575 147 2652 698 706 1828 1614 783 629 931 294 965 117 1977 588 1915 1099 2444 1715 2350 3165 115 2726 2661 164 1837 842 2474 2626 1239 2958 1421 2295 545 1784 2921 2977 3152 213 3124
90,2351 1206 3182 1602 3148 610 1939 1173 2956 697 2018 2174 2649 1386 945 2323 2684 295 1533 111 2356 1892 2754 272 214 1073 828 1972 3241 2770 2302 611 1193 1793 2670 3088 738 2007 2428 1991 1444 465 1280 1498 1737 99 720 470 2937 199
91,582 3134 803 2952 538 2652 677 2362 2413 598 1157 987 2866 1964 2113 954 1612 776 2431 1446 2886 3059 856 192 3241 1474 525 1117 1043 2351 1129 1305 1141 2931 2885 3075 2163 2550 1280 423 2090 1957 2193 1362 358 1991 1386 1873 147 1770
92,128 1339 3147 186 975 2841 2034 545 3139 1194 2485 1857 2069 2986 3142 2685 1715 496 2117 505 988 3023 2661 1873 2855 164 1755 3118 836 40 691 2867 1613 46 1397 3145 2783 1006 1965 465 2956 1770 2749 4 1189 3210 122 84 2679 3013
93,104 1659 971 2931 170 1582 981 2879 400 1197 76 655 486 2902 2350 613 100 1507 266 1558 2726 231 1158 2875 490 2339 3186 2800 2117 892 868 1054 2320 2333 1239 2688 1474 3031 443 2163 3 3064 551 854 2812 2995 1154 3013 2878 545
94,677 1496 1873 641 692 3035 956 2933 2825 2769 2350 1531 403 1521 2652 1916 655 2805 1014 2810 2726 2470 706 947 3156 905 2115 964 1575 238 259 1391 294 2931 266 1619 501 936 2262 241 2203 2714 545 3161 1269 3189 825 669 1765 939
95,244 751 1613 2226 1113 838 1009 122 1224 519 1343 1975 2262 2217 199 71 1602 468 2444 2859 2656 1365 334 429 1737 3210 331 35 1312 2499 1012 155 2479 1861 1057 2972 2736 1802 590 1762 1857 625 1531 2589 3014 47 2379 272 1405 796
96,333 1348 1185 1861 2940 773 2012 2157 2885 1812 1397 1197 767 2031 2750 2514 3229 485 84 987 2789 2855 1357 2320 1923 2359 3178 990 2633 1023 1112 1770 471 579 2850 2541 553 1241 945 1491 3193 2351 573 417 1218 2403 721 2516 255 1324
97,713 2171 2802 122 2937 3022 2147 241 2320 2912 1379 501 936 1200 1289 2825 2470 1125 3145 2311 2122 869 2944 1784 157 3078 2302 275 573 1770 91 719 1324 2012 1474 596 2866 3209 1185 2464 2232 3080 3210 2962 2474 1111 121 2749 517 3104
98,2472 2810 2782 100 2398 1348 2976 1920 803 3059 2964 470 1956 2320 3145 1643 1102 748 1239 346 517 1770 1195 2937 2914 2108 2351 1197 2031 1818 1990 192 2312 2210 1280 779 1879 1213 272 2163 2463 266 988 1922 987 1714 938 964 1443 1241
99,830 2339 347 865 1558 356 838 1105 2445 2380 1185 1620 309 2114 2966 2533 706 1351 1474 471 2444 3186 3078 719 1353 1868 505 3146 2174 275 522 1681 637 676 76 3165 1048 3209 3088 2320 178 1155 1443 2171 1020 1127 678 1648 1075 473
100,2464 949 2922 166 1122 1664 2320 1811 470 1193 1455 2198 2934 465 767 1200 971 2508 814 1770 521 865 712 333 56 1128 1120 1106 380 3139 2350 294 2022 1983 1220 2787 2985 2807 280 1060 719 1681 116 870 1454 2111 3257 1386 3052 2827
101,2282 639 579 51 217 1466 1860 465 3225 1417 46 1456 2575 780 2111 1656 1 428 1198 1116 3231 387 1586 2456 1706 1023 1215 2472 1693 1230 3229 2221 333 2629 3194 1875 461 749 3209 1812 912 663 2132 2823 2222 1405 270 1784 124 485
